epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2012.14,0.48563,0.08628,0.08752,0.30984,0.8414,0.99923,1,0.995,0.84332,0.99923,1,0.995,0.99281,0.55611,0.03267,0.00703,0.31403,0.85844,0.0010397,0.0010397,0.0010397
99,2032.63,0.48486,0.08012,0.12646,0.31934,0.84996,0.99922,1,0.995,0.85157,0.99922,1,0.995,0.99281,0.52631,0.03277,0.00678,0.30306,0.85501,0.0010298,0.0010298,0.0010298
100,2053.54,0.43633,0.06447,0.08227,0.28691,0.82002,0.99921,1,0.995,0.85894,0.99921,1,0.995,0.99285,0.52774,0.03456,0.00669,0.29018,0.8582,0.0010199,0.0010199,0.0010199
101,2074.19,0.47693,0.07154,0.06793,0.30166,0.81702,0.99922,1,0.995,0.86325,0.99922,1,0.995,0.989,0.52958,0.03893,0.00684,0.2951,0.85904,0.00101,0.00101,0.00101
102,2094.43,0.49709,0.07386,0.09019,0.30817,0.83715,0.99922,1,0.995,0.86325,0.99922,1,0.995,0.989,0.52958,0.03893,0.00684,0.2951,0.85904,0.0010001,0.0010001,0.0010001
103,2114.89,0.46413,0.06039,0.06664,0.30018,0.83943,0.99924,1,0.995,0.87156,0.99924,1,0.995,0.9897,0.51286,0.04628,0.00753,0.30404,0.84743,0.0009902,0.0009902,0.0009902
104,2135.39,0.44705,0.07674,0.09641,0.29774,0.82956,0.99922,1,0.995,0.86847,0.99922,1,0.995,0.98889,0.52833,0.04874,0.00764,0.30654,0.85085,0.0009803,0.0009803,0.0009803
105,2156.22,0.43591,0.05605,0.07736,0.29394,0.82776,0.99922,1,0.995,0.8648,0.99922,1,0.995,0.9908,0.52302,0.04484,0.00752,0.30133,0.85779,0.0009704,0.0009704,0.0009704
106,2177.59,0.46494,0.07402,0.09496,0.30047,0.83119,0.99922,1,0.995,0.87607,0.99922,1,0.995,0.99247,0.50263,0.04056,0.00695,0.28737,0.8453,0.0009605,0.0009605,0.0009605
107,2198.43,0.46498,0.09042,0.10354,0.2959,0.83014,0.99923,1,0.995,0.87439,0.99923,1,0.995,0.99249,0.5025,0.03681,0.00713,0.28688,0.83611,0.0009506,0.0009506,0.0009506
108,2219.41,0.46408,0.0798,0.09945,0.29506,0.82587,0.99924,1,0.995,0.87528,0.99924,1,0.995,0.99393,0.51132,0.0351,0.0072,0.29725,0.84013,0.0009407,0.0009407,0.0009407
109,2240.31,0.45556,0.06643,0.09369,0.29572,0.82611,0.99922,1,0.995,0.8684,0.99922,1,0.995,0.99385,0.50774,0.0313,0.00701,0.2919,0.84476,0.0009308,0.0009308,0.0009308
110,2261.25,0.43124,0.067,0.1014,0.29773,0.82358,0.99922,1,0.995,0.8684,0.99922,1,0.995,0.99385,0.50774,0.0313,0.00701,0.2919,0.84476,0.0009209,0.0009209,0.0009209
111,2283.13,0.49188,0.06737,0.11522,0.30763,0.8403,0.99923,1,0.995,0.85923,0.99923,1,0.995,0.995,0.52458,0.0296,0.00707,0.29487,0.84487,0.000911,0.000911,0.000911
112,2304.95,0.44342,0.06148,0.08943,0.29066,0.82702,0.99923,1,0.995,0.87204,0.99923,1,0.995,0.995,0.49496,0.0287,0.00674,0.28835,0.84111,0.0009011,0.0009011,0.0009011
113,2326.82,0.43653,0.07294,0.10073,0.29151,0.83774,0.99924,1,0.995,0.85762,0.99924,1,0.995,0.995,0.53775,0.02879,0.00659,0.29892,0.8595,0.0008912,0.0008912,0.0008912
114,2348.2,0.44772,0.07052,0.09747,0.29629,0.82802,0.99924,1,0.995,0.87177,0.99924,1,0.995,0.995,0.54342,0.02917,0.00664,0.30125,0.85875,0.0008813,0.0008813,0.0008813
115,2369.61,0.43087,0.059,0.06434,0.28579,0.82167,0.99926,1,0.995,0.87456,0.99926,1,0.995,0.995,0.5013,0.02859,0.00731,0.28739,0.84759,0.0008714,0.0008714,0.0008714
116,2391.7,0.43887,0.07886,0.09428,0.29214,0.82591,0.99927,1,0.995,0.87267,0.99927,1,0.995,0.995,0.50757,0.02577,0.00711,0.28604,0.85152,0.0008615,0.0008615,0.0008615
117,2412.73,0.43161,0.07714,0.10219,0.28649,0.81975,0.99926,1,0.995,0.8653,0.99926,1,0.995,0.995,0.52167,0.02542,0.00699,0.29169,0.86067,0.0008516,0.0008516,0.0008516
118,2433.08,0.43209,0.05265,0.09639,0.28607,0.82507,0.99926,1,0.995,0.8653,0.99926,1,0.995,0.995,0.52167,0.02542,0.00699,0.29169,0.86067,0.0008417,0.0008417,0.0008417
119,2453.38,0.42249,0.08197,0.09601,0.28203,0.82678,0.99925,1,0.995,0.88383,0.99925,1,0.995,0.995,0.49232,0.02661,0.00703,0.27932,0.84815,0.0008318,0.0008318,0.0008318
120,2473.65,0.45888,0.07513,0.08847,0.28922,0.82512,0.99924,1,0.995,0.86211,0.99924,1,0.995,0.995,0.52317,0.02586,0.00683,0.28845,0.84842,0.0008219,0.0008219,0.0008219
